Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
Theft,S. University Ave. & E. 57th St.,1/29/12,1/29/12 12:01AM to 2:30AM,"Unknown person(s) took a jacket, camera, and ID that was left unattended in a unsecured room.",Open,B00087,-87.5980738,41.7914067
Criminal Defacement,5706 S. University Ave. ,1/30/12,1/27/12 to 1/30/12 5:00PM to 8:00AM,Unknown person(s) used a black marker to write a symbol on the elevator call box.,Open,B00088,-87.5982633,41.7909142
Theft,E. 57th St. & S. Harper Ave.,1/30/12,1/28/12 to 1/30/12 6:00PM to 11:15AM,Unknown person(s) took a bicycle that was secured to a bike rack.,Open,B00089,-87.5889455,41.7915074
Theft,970 E. 58th St. ,1/30/12,1/30/12 1:07PM,Two unknown males took numerous toiletry items from the bookstore.,Open,B00090,-87.6014637,41.7897474
Theft,970 E. 58th St. ,1/31/12,1/31/12 1:00PM to 1:30PM,Unknown person(s) took a wallet from an unattended shoulder bag.,Open,B00091,-87.6014637,41.7897474
Theft,932 E. 56th St. ,2/1/12,1/29/12 3:08AM to 3:14AM,Unknown persons took home plate from softball field.,Open,B00092,-87.6024102,41.7931943
Lost Property,6031 S. Ellis Ave. ,2/1/12,1/31/12 5:00PM to 7:00PM,Complainant reported losing a wallet while on campus.,Closed/NC,B00093,-87.6003487,41.78502539999999
Theft,E. 53rd St. & S. Harper Ave.,2/1/12,2/1/12 9:00AM to 2:45PM,Unknown person(s) took wallet from victim's jacket/subsequent unauthorized use of credit card reported.,Open,B00094,-87.589095,41.7995233
Theft,E. 57th St. & S. Kenwood Ave.,2/2/12,2/2/12 2:00PM to 2:36PM,Unknown person(s) took a bicycle that was secured to a outside back rack.,Open,B00095,-87.59322170000002,41.7914617
Injured Person,5738 S. Maryland Ave. ,2/2/12,2/2/12 2:35PM to 2:38PM,Complainant reported falling on the floor/complainant reported minor injuries and refused medical attention at the scene.,Closed/NC,B00096,-87.60500499999999,41.7902435
Simple Battery,E. 56th St. & S. Drexel Ave.,2/2/12,2/2/12 7:30PM to 7:33PM,Unknown male grabbed the victim by the arm but fled eastbound on E. 56th St. when he saw a UCPD vehicle patrolling the area/no injuries were reported.,Open,B00097,-87.6037882,41.7931665
Burglary - Attempted,E. 55th Pl. & S. Blackstone Ave.,2/3/12,2/2/12 to 2/3/12 4:00PM to 8:00AM,Unknown person(s) attempted to gain entry to the building storage room/pry marks were located but no items were reported missing.,Open,B00098,-87.5903257,41.7947713
Criminal Damage to Property,5848 S. University Ave. ,2/3/12,1/31/12 to 2/3/12 9:00AM to 10:00AM,Unknown person(s) damaged a vending machine located in one of the washrooms.,Open,B00099,-87.598282,41.788401
Theft,E. 55th St. & S. University Ave.,2/4/12,2/1/12 to 2/4/12 1:00PM to 12:00PM,Unknown person(s) took a bicycle that was left unsecured in the building storage/laundry room.,Open,B00100,-87.59809709999999,41.7950436
Theft,E. 56th St. & S. University Ave.,2/4/12,2/4/12 2:30AM to 10:30AM,"Unknown person(s) took a wallet, book bag, a laptop computer, and a set of headphones from the apartment.",Open,B00101,-87.59813009999999,41.7932285
Theft,5639 S. University Ave. ,2/5/12,2/5/12 12:00AM to 12:30AM,Unknown person(s) took a purse that was left unsecured in a coat room.,Open,B00102,-87.59772199999999,41.792015
Traffic Violation,E. 60th St. & S. Woodlawn Ave.,2/6/12,2/6/12 9:16PM,UCPD officer arrested a motorist for disregarding a stop light and driving on a suspended driver's license.,Closed/Arrest,B00000,-87.596333,41.7859971
Theft,Midway Plaisance & S. Woodlawn Ave.,2/7/12,2/7/12 11:45AM,Unknown male offender snatched a cellular phone out of the victim's hand and fled eastbound on Midway Plaisance.,Open,B00103,-87.5963558,41.78650409999999
Motor Vehicle Theft - Attempted,Midway Plaisance & S. Woodlawn Ave.,2/7/12,2/7/12 11:44AM to 11:57AM,UCPD officers arrested a male offender for breaking in and attempting to take a motor a vehicle after a citizen had informed UCPD about the suspicious activity.,Closed/Arrest,B00104,-87.5963558,41.78650409999999
Lost Property,5807 S. Woodlawn Ave. ,2/7/12,2/2/12 3:30PM to 4:00PM,Complainant reported losing a wallet after exiting the building's cafeteria.,Closed/NC,B00105,-87.5955699,41.7889213
Theft,5811 S. Ellis Ave. ,2/7/12,2/7/12 12:10PM to 2:57PM,Unknown person(s) took a bicycle that was left secured to the outside bike rack located near the front entrance to the building.,Open,B00106,-87.600948,41.7889636
Theft,S. University Ave. & E. 54th Pl.,2/7/12,1/26/12 to 2/7/12 8:00AM to 8:00AM,Unknown person(s) took a bicycle that was left in the basement of the apartment building.,Open,B00107,-87.5981106,41.7964986
Damage to Property - Non Criminal,E. 56th St. & S. Stony Island Ave.,2/8/12,2/6/12 to 2/8/12 7:00PM to 8:00AM,Complainant reported discovering the passenger side window of her vehicle shattered/no signs of criminal intent.,Closed/NC,B00108,-87.5866278,41.7933722
Theft,E. 59th St. & S. Kimbark Ave.,2/8/12,2/7/12 to 2/8/12 5:00PM to 8:30AM,Unknown person(s) shattered the passenger side rear window of victim's vehicle and took a laptop computer charger from the center console.,Open,B00109,-87.59475859999999,41.787806
Theft,950 E. 59th St. ,2/8/12,2/7/12 8:30AM to 5:30PM,Unknown person(s) took a debit card and ID from the victim's purse which was left unsecured in an office.,Open,B00110,-87.6027919,41.7878573
Theft,5706 S. University ,2/8/12,2/6/12 to 2/7/12 8:00AM to 2:30PM,Unknown person(s) took a backpack that contained a laptop computer and book from a secured room.,Open,B00111,-87.5982633,41.7909142
Public Peace Violation - Warrant Arrest,S. Ingleside Ave. & E. 61st St.,2/8/12,2/8/12 7:10PM,UCPD officers arrested a motorist for an active out-of-state arrest warrant after stopping the motorist for a vehicular code violation.,Closed/Arrest,B00112,-87.60276569999999,41.7840796
Accidental Injury,5758 S. Maryland Ave. ,2/9/12,2/9/12 9:45AM to 9:50AM,Complainant reported minor injuries after coffee was accidentally spilled onto the complainant's lap by another citizen.,Closed/NC,B00113,-87.60554789999999,41.7901233
Robbery - Strong Arm,S. Dorchester Ave. & E. 57th St.,2/9/12,2/9/12 5:25PM to 6:18PM,Five unknown males approached victim and struck the victim in the face and chest before taking a wallet from the victim’s pocket.  All five suspects fled in unknown directions.  Victim suffered minor injuries and refused medical attention.,Open,B00114,-87.5916036,41.791483
Theft,1116 E. 59th St. ,2/10/12,2/10/12 12:10PM to 12:20PM,Unknown person(s) took a laptop computer and wallet from victim's unattended backpack.,Open,B00115,-87.5995794,41.7879593
Theft,S. Dorchester Ave. & E. 51st St.,2/10/12,2/10/12 12:00PM to 1:45PM,Unknown person(s) smashed the passenger's side window of the victim's vehicle and took a black bag containing musical instrument equipment.,Open,B00116,-87.6161236,41.8021103
Theft,5734 S. Ellis Ave. ,2/10/12,2/10/12 2:00PM to 4:15PM,Unknown person(s) took two laptop computers and an external DVD burner from an unsecured office.,Open,B00117,-87.6016511,41.79029329999999
Theft,5807 S. Woodlawn Ave ,2/11/12,2/10/12 5:45PM to 6:15PM,Unknown person(s) took an unattended laptop computer from a room.,Open,B00118,-87.5955699,41.7889213
Theft,6031 S. Ellis Ave. ,2/11/12,2/5/12 to 2/6/12 12:00AM to 4:00AM,Unknown person(s) took a scarf from an unattended coat.,Open,B00120,-87.6003487,41.78502539999999
Theft,1212 E. 59th St. ,2/12/12,2/11/12 to 2/12/12 11:00PM to 12:15PM,Unknown person(s) took a laptop computer and U.S. currency from an unsecured room.,Open,B00122,-87.5955798,41.7882112
Traffic Violation,E. 57th St. & S. Ellis Ave.,2/12/12,2/12/12 8:59PM,"UCPD officer arrest motorist for driving on a suspended driver's license, no proof of insurance, and disobeying a stop sign.",Closed/Arrest,B00000,-87.60130180000002,41.7913737
Harassment - Electronic Means,E. 54th Pl. & S. Ingleside Ave.,2/12/12,2/12/12 8:00PM to 11:10PM,Victim reported receiving numerous threatening text messages from an anonymous person.,Open,B00123,-87.6027544,41.7964536
Lost Property,1131 E. 57th St. ,2/14/12,2/13/12 1:00PM to 5:00PM,Complainant reported losing a purse  that contained a wallet and various credit cards/no unauthorized use of credit cards reported.,Closed/NC,B00124,-87.5982604,41.791237
Theft,5706 S. University Ave. ,2/14/12,2/14/12 1:30PM to 2:08PM,"UCPD officers arrested a male offender for theft after victim had reported that her back pack containing a wallet, computer, and cell phone were taken.",Closed/Arrest,B00125,-87.5982633,41.7909142
Theft,970 E. 58th St. ,2/15/12,2/14/12 4:00PM to 4:10PM,Unknown male offender took several items of store merchandise including a computer keyboard and several back packs.,Open,B00127,-87.6014637,41.7897474
Theft,5706 S. University Ave. ,2/15/12,2/13/12 to 2/14/12 9:30AM to 8:00AM,Unknown person(s) took victim's unattended laptop computer from an unsecured room.,Open,B00128,-87.5982633,41.7909142
Theft,5815 S. Maryland Ave. ,2/15/12,2/12/12 3:00PM to 4:15PM,Unknown person(s) took an unattended laptop computer and electronic tablet that was left by the main entrance.,Open,B00129,-87.6041439,41.78917240000001
Theft,Midway Plaisance & S. Ellis Ave.,2/15/12,2/15/12 6:30AM to 7:30PM,Unknown person(s) took catalytic converter from parked vehicle.,Open,B00130,-87.6011959,41.7864481
Theft,1100 E. 57th St. ,2/16/12,2/15/12 3:05PM to 4:05PM,Unknown person(s) took a laptop computer that was left unattended in an unsecured room.,Open,B00131,-87.6001136,41.7922076
Theft,5734 S. University Ave.,2/16/12,2/16/12 11:30AM to 1:00PM,"Unknown person(s) took an unattended laptop computer, cellular phone, and wallet from an unsecured room.",Open,B00132,-87.5982794,41.7902718
Theft,1442 E. 59th St. ,2/16/12,2/15/12 to 2/16/12 10:30PM to 3:00PM,Unknown person(s) took a bicycle that was secured to the front entrance bike rack.,Open,B00133,-87.5897897,41.7880755
Theft,970 E. 58th St. ,2/16/12,2/16/12 3:10PM to 3:24PM,UCPD officers arrested a male offender for taking store merchandise/the offender also matched the description of the suspect from a previous theft reported at the same location.,Closed/Arrest,B00134,-87.6014637,41.7897474
Traffic Violation,E. 60th St. & S. Ellis Ave.,2/16/12,2/16/12 10:30PM,UCPD officers arrested a motorist for driving with a suspended driver's license and no proof of liability insurance after the vehicle was stopped for a motor vehicle code violation.,Closed/Arrest,B00000,-87.6011825,41.7859081
Other Non-Criminal Property,S. Woodlawn Ave. & 56th St.,2/17/12,2/17/12 9:00AM to 12:00PM,Complainant reported missing the rear license plate from his vehicle that was parked on the street.,Closed/NC,B00135,-87.596491,41.7932577
Theft,6016 S. Ingleside Ave. ,2/17/12,2/17/12 12:00PM to 2:30PM,Unknown person(s) took a wallet that was left unattended in a classroom.,Open,B00136,-87.6029258,41.7857267
Motor Vehicle Accident,E. 57th St. & Lake Park Ave.,2/17/12,2/17/12 3:00PM,UCPD officers responded to a motor vehicle accident with property damage only.,Closed/NC,B00137,-87.5883195,41.7915121
Theft,1010 E. 59th St. ,2/17/12,2/17/12 7:30PM to 9:30PM,Unknown person(s) took a bike that was secured to a bike inside the quad area.,Open,B00138,-87.60082369999999,41.7879638
Traffic Violation,S. Woodlawn Ave. & Midway Plaisance,2/18/12,2/18/12 12:16AM,UCPD officers arrested a motorist for driving on a suspended license after the motorist was stopped for running a red light.,Closed/Arrest,B00000,-87.5963558,41.78650409999999
Non-Criminal Incident,6025 S. Ellis Ave. ,2/18/12,2/18/12 12:26PM to 12:28PM,Complainant reported that a female subject threw chili on him after a verbal argument.,Closed/NC,B00140,-87.60066069999999,41.7853228
Theft,900 E. 57th St. ,2/19/12,2/16/12 9:00AM to 6:00PM,Unknown person(s) took a bicycle that was secured to a bike rack located outside of the building.,Open,B00141,-87.6034081,41.7916469
Theft,S. Dorchester Ave. & E. 53rd St.,2/19/12,2/17/12 to 2/18/12 2:00PM to 4:30PM,Unknown person (s) took a bicycle that was secured to a sign post outside of the victim's apartment.,Open,B00142,-87.5917812,41.7994889
Theft,E. 58th St. & S. Woodlawn Ave.,2/19/12,2/19/12 5:30PM to 6:30PM,"Unknown person (s) took an unattended back pack, which contained a pair of eyeglasses and a computer cord, from a front room.",Open,B00143,-87.5964144,41.78960720000001
Motor Vehicle Theft Recovery,S. Cottage Grove & E. 59th St.,2/19/12,2/19/12 7:09PM,UCPD Officers arrested several occupants of a motor vehicle after it was determined that the vehicle was reported stolen.,Closed/Arrest,B00144,-87.60606159999999,41.7876879
Arrest on Warrant,S. Harper Ave & E. 53rd St.,2/19/12,2/19/12 8:17PM,"UCPD Officers arrested a motorist for an active warrant out of Country Club Hills, IL after the vehicle was stopped for a traffic violation.",Closed/Arrest,B00145,-87.589095,41.7995233
Theft,929 E. 57th St. ,2/20/12,2/16/12 8:30AM to 4:00PM,Unknown person(s) took a bicycle that was secured to the outside bike rack located at the rear entrance to the building.,Open,B00146,-87.60270899999999,41.7908878
Simple Assault,1414 E. 59th St. ,2/20/12,2/18/12 9:20PM to 9:30PM,Victim reported being verbally assaulted and threatened by male offender.,Open,B00147,-87.5908334,41.7882389
Theft,1414 E. 59th St. ,2/20/12,2/16/12 to 2/17/12 7:00PM to 11:30AM,Unknown person (s) took a bicycle that was secured to the outside bike rack just east of the main entrance to the building.,Open,B00148,-87.5908334,41.7882389
Theft,1414 E. 59th St. ,2/20/12,2/17/12 to 2/20/12 5:00PM to 1:30PM,Unknown person (s) took a bicycle that was secured to the outside bike rack just outside of the main entrance to the building.,Open,B00149,-87.5908334,41.7882389
Theft,1101 E. 58th St. ,2/20/12,2/20/12 9:30AM to 2:00PM,Unknown person(s) took an electronic tablet from an unsecured office.,Open,B00150,-87.5989219,41.7889123
Theft,E. 55th St. & S. Lake Park Ave.,2/21/12,2/20/12 6:50PM,Unknown person(s) took an unattended wallet from a shopping cart/subsequent unauthorized use of credit card reported.,Open,B00151,-87.58758429999999,41.7952315
Lost Property,5815 S. Maryland Ave. ,2/21/12,2/21/12 2:00PM to 5:30PM,"The complainant, a staff nurse, reported losing a medication prescription.",Closed/NC,B00152,-87.6041439,41.78917240000001
Theft,E. 53rd St. & S. Blackstone Ave.,2/21/12,2/21/12 8:30PM to 8:50PM,Unknown person(s) took a cellular phone that was left unattended.,Open,B00153,-87.5904508,41.7995027
Theft,5807 S. Woodlawn Ave. ,2/23/12,2/22/12 12:40PM to 5:20PM,Unknown person(s) took a laptop computer from an unsecured office.,Open,B00154,-87.5955699,41.7889213
Motor Vehicle Accident,S. Maryland Ave. & E. 58th St.,2/23/12,2/23/12 12:07PM,UCPD officers responded to a motor vehicle accident with property damage only.,Closed/NC,B00155,-87.60498319999999,41.7895109
Battery-Simple,E. 46th St. & Greenwood Ave.,2/23/12,2/23/12 8:20AM,Complainant reported being a victim of a battery-simple which involved a known female suspect/victim did not sustain any injuries.,Open,B00156,-87.59930489999999,41.8114199
Theft,5815 S. Maryland Ave. ,2/23/12,2/23/12 2:00PM to 2:35PM,"Unknown person(s) took a sweater, US currency, and a parking ticket that was left in an unsecured room.",Open,B00157,-87.6041439,41.78917240000001
Theft,E. 60th St. & S. Drexel Ave.,2/24/12,2/23/12 to 2/24/12  10:00PM to 12:15AM,Unknown person(s) shattered rear passenger's side window of vehicle and took USB cord and GPS device.,Open,B00158,-87.60442689999999,41.7858692
Criminal Damage to Vehicle,S. Ingleside Ave. & E. 61st St.,2/24/12,2/23/12 to 2/24/12  6:30PM to 5:30AM,Unknown person(s) shattered rear passenger's side window of vehicle/no property was taken.,Open,B00159,-87.60276569999999,41.7840796
Theft,E. 59th St. & S. Dorchester Ave.,2/24/12,2/23/12 to 2/24/12  10:00PM to 9:10AM,Unknown person(s) shattered rear passenger's side window of vehicle and took a power cord.,Open,B00160,-87.59150869999999,41.7878418
Theft,1126 E. 59th St. ,2/24/12,2/23/12  10:00AM to 6:00PM,Unknown person(s) took a bicycle that was secured to the bike rack located just outside of the building.,Open,B00161,-87.6000808,41.7883749
Theft,5706 S. University Ave. ,2/24/12,2/24/12  3:00PM to 4:00PM,Unknown person(s) took a wallet from an unsecured office/subsequent unauthorized use of a credit card was reported.,Open,B00163,-87.5982633,41.7909142
Theft,E. 59th St. & S. Kimbark Ave.,2/24/12,2/24/12  4:49PM to 4:55PM,UCPD officers arrested a male suspect for taking a bicycle that was secured to a street sign.,Closed/Arrest,B00164,-87.59475859999999,41.787806
Theft,5630 S. University Ave. ,2/25/12,2/25/12  12:00AM to 11:30AM,Unknown person(s) took several items of clothing from the basement laundry room.,Open,B00166,-87.59843049999999,41.7927938
Theft,5514 S. University Ave. ,2/26/12,2/25/12 to 2/26/12  2:30PM to 8:15AM,Unknown person(s) took a back pack and laptop computer that were left unattended in the dining area.,Open,B00167,-87.5983354,41.7946356
