,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
412,Theft,5814 S. Kimbark ,9/28/10 9:17 AM,9/27/10 to 9/28/10 9:30 AM to 9:10 AM,Unknown person took bicycle that had been secured to a bike rack,Open,W1164,-87.5947936,41.7885391
413,Theft,55th & Cottage Grove,9/28/10 10:14 AM,9/28/10 10:12 AM,UCPD observed a man taking a tire from a parked car / Arrested after a chase,Arrest,W1166,-87.60623570000001,41.79495430000001
415,Retail Theft,970 E. 58th St. ,9/29/10 12:31 PM,9/29/10 12:31 PM,Man grabbed approximately 10 sweatshirts and ran from the store without paying / Subject arrested by UCPD 10/22/10,Arrest,W1167,-87.6014637,41.789747399999996
416,Theft,5845 S. Ellis ,9/29/10 1:51 PM,9/29/10 10:30 AM to 1:30 PM,Unknown person took unattended wallet containing cash and credit cards from an unlocked office / Subsequent unauthorized use of credit cards reported,Open,W1168,-87.6011168,41.7885049
421,Theft,929 E. 57th St. ,9/30/10 10:14 AM,9/20/10 to 9/22/10 5:00 PM to 10:30 AM,"Unknown person took 32"" LG flat screen TV from an unlocked case in the basement of the building",Open,W1173,-87.60270899999998,41.7908878
423,Theft,5710 S. Woodlawn ,9/30/10 9:41 PM,9/30/10 9:00 PM to 9:20 PM,Unknown person took a Mac Book Pro computer from a desk top,Open,W1175,-87.5964656,41.790950099999996
426,Theft,900 E. 57th St. ,10/1/10 10:27 AM,9/27/10 to 9/28/10 4:30 PM to 8:00 AM,Unknown person took a black mesh desk sorter from a desk,Open,W1178,-87.6034081,41.791646899999996
430,Theft,1100 E. 57th St. ,10/2/10 10:24 AM,10/1/10 to 10/2/10 12:01 AM to 9:00 AM,Unknown person took wallet from unattended backpack / Subsequent unauthorized use of credit card reported,Open,W1182,-87.6001136,41.7922076
436,Theft,1118 E. 58th St. ,10/4/10 9:53 AM,10/3/10 to 10/4/10 7:00 PM to 9:10 AM,Cell phone was found in Eckhart library and placed in lost and found / Unknown person removed the cell phone from lost and found,Open,W1188,-87.6012587,41.789548100000005
438,Theft,Ellis & 56th,10/5/10 10:21 AM,10/4/10 12:00 PM to 5:30 PM,Unknown person took a bicycle that had been secured to a bike rack,Open,W1190,-87.60133940000001,41.7931965
440,Theft,5640 S. University ,10/5/10 12:05 PM,10/4/10 1:00 PM to 1:30 PM,Woman left her wallet in dining hall / Subsequent unauthorized use of a debit card reported,Open,W1192,-87.59822439999998,41.7925325
441,Theft,Blackstone between 54th & 55th,10/6/10 9:49 AM,10/5/10 to 10/6/10 9:00 PM to 8:45 AM,Unknown person took an unsecured bicycle from the rear yard of a residence,Open,W1193,-87.59037524948683,41.79677400000293
443,Theft,1005 E. 60th St. ,10/6/10 12:05 PM,6/10/10 to 9/10/10 6:00 PM to 11:00 AM,Unknown person took a secured bicycle from the bike rack in the basement of the residence hall,Open,W1194,-87.60017669999998,41.785430600000005
445,Theft,1117 E. 58th St. ,10/6/10 5:27 PM,10/6/10 5:20 PM,Unknown male snatched an Apple laptop computer from a man sitting on a bench and ran off,Open,W1196,-87.6012587,41.789548100000005
446,Theft,1020 E. 58th St. ,10/6/10 7:36 PM,10/5/10 1:30 PM to 5:30 PM,Unknown person took a bicycle that had been secured to a bike rack,Open,W1198,-87.60020999999998,41.790008799999995
456,Theft,Blackstone between 55th & 56th,10/8/10 3:33 PM,10/7/10 4:00 PM,Complainant discovered someone used his credit card information to purchase items,Open,W1209,-87.59032109951983,41.79441525000345
457,Theft,5833 S. Kenwood ,10/8/10 4:40 PM,10/6/10 3:30 PM to 5:15 PM,Unknown person took $50 cash from wallet secured in a gym locker,Open,W1210,-87.5931468,41.789394
460,Theft,1009 E. 57th St. ,10/9/10 12:40 PM,10/8/10 to 10/9/10 9:00 PM to 10:30 AM,Man reported his laptop taken from his room / Later called and reported he left laptop in a friend's room,Unfounded,W1213,-87.6005453,41.791078399999996
461,Theft,1025 E. 58th St. ),10/10/10 12:33 PM,10/10/10 12:25 PM to 12:30 PM,Unknown person took unattended purse placed on a bench in the Bond Chapel Courtyard,Open,W1214,-87.60015200000001,41.789113
464,Theft from Motor Vehicle,Cottage Grove between 57th & 58th,10/11/10 8:20 AM,10/10/10 to 10/11/10  6:55 PM to 7:45 AM,"Unknown person smashed driver's side window of car parked on the street / Took stereo radio, clothing and other items",Open,W1217,-87.60613849964584,41.79040780000274
465,Theft from Motor Vehicle,University between 60th & 61st,10/11/10 8:55 AM,10/10/10 to 10/11/10 2:00 PM to 8:50 AM,Unknown person smashed passenger's side window of car parked on the street / Took wool gloves,Open,W1218,-87.59792354976345,41.7850291000012
466,Theft,1100 E. 57th St. ,10/11/10 2:32 PM,10/11/10 1:55 PM,Two wallets taken from a book bag left unattended in a study cubicle,Open,W1219,-87.6001136,41.7922076
467,Theft,901 E. 58th St. ,10/11/10 4:47 PM,10/11/10 5:00 AM to 11:00 AM,Wallet taken from unattended backpack left in nursing station in ER,Open,W1220,-87.6049245,41.78949770000001
475,Theft from Motor Vehicle,Woodlawn between 60th & 61st,10/12/10 5:37 PM,10/12/10 11:45 AM to 5:00 PM,Unknown person smashed front passenger's side window of car parked on the street and took GPS device,Open,W1228,-87.5963165497612,41.78506635000117
478,Theft,1020 E. 58th St. ,10/13/10 5:37 PM,10/13/10 1:30 PM to 5:00 PM,Mac Pro laptop computer taken from unsecured locker on 3rd floor,Open,W1232,-87.60020999999998,41.790008799999995
483,Theft,University between 55th & 56th,10/14/10 1:05 PM,10/13/10 11:00 AM to 3:00 PM,Unknown person pried the secured side door of a van parked on the street and took tools,Open,W1237,-87.59811360023363,41.79413605000118
485,Theft,5706 S. University ,10/14/10 5:32 PM,10/14/10 2:30 PM to 4:00 PM,Unknown person took wallet from book bag placed on the floor next to a chair in café / Unauthorized use of debit cards subsequently reported,Open,W1239,-87.59826329999999,41.7909142
487,Theft,5841 S. Maryland  ,10/14/10 8:12 PM,10/14/10  7:00 AM to 6:00 PM,Unknown person took wallet from unattended purse that had been placed under a chair in visitor's lounge in hospital   / Unauthorized use of credit cards subsequently reported,Open,W1241,-87.6045656,41.7883128
494,Theft,5550 S. University ,10/16/10 5:34 PM,10/15/10 to 10/16/10 11:00 PM to 5:20 PM,Man's clothing and combination lock taken from gym locker,Open,W1249,-87.598936,41.793561100000005
496,Theft,Ridgewood between 54th & 55th,10/17/10 12:38 PM,10/16/10 to 10/17/10 7:00 PM to 11:00 AM,Unknown person took secured bicycle from front of residence,Open,W1251,-87.6111900130857,41.83806904979291
497,Theft from Motor Vehicle,55th between Everett & Shore Dr.,10/17/10 1:52 PM,10/16/10 to 10/17/10 11:00 PM to 3:00 AM,Unknown person broke into trunk of car parked on the street and took backpack containing computer and other items,Open,W1253,-87.58168555008659,41.795230753114026
499,Theft,5445 S. Ingleside ,10/17/10 6:22 PM,10/15/10 5:00 PM to 7:00 PM,Secured bicycle taken from bike rack,Open,W1254,-87.60229249999998,41.7967734
501,Theft,1116 E. 59th St. ,10/17/10 9:35 PM,10/17/10 8:00 PM to 9:30 PM,"Unknown person took bicycle, chain and lock from bike rack",Open,W1255,-87.59957940000001,41.7879593
503,Theft,University between 64th & 65th,10/18/10 10:06 AM,9/13/10 to 10/7/10 9:30 AM to 10:45 AM,Two MacBook computers taken from a room in an elementary school,Open,W1258,-87.59789556294686,41.7780737519501
505,Theft,5721 S. Maryland ,10/18/10 10:51 PM,10/18/10 9:00 PM to 10:30 PM,Unknown person took unattended cell phone from work station,Open,W1260,-87.6046094,41.7902271
507,Theft,1100 E. 57th St. ,10/19/10 6:45 PM,10/19/10 2:30 PM to 3:00 PM,Unknown person took credit cards from an unattended wallet / Unauthorized purchases subsequently reported,Open,W1262,-87.6001136,41.7922076
508,Theft,5807 S. Woodlawn ,10/19/10 6:58 PM,10/19/10 6:23 PM,Two unattended gym bags containing laptop computers taken from hallway by a male subject,Open,W1263,-87.5955699,41.7889213
511,Theft,5815 S. Maryland ,10/20/10 12:46 PM,10/20/10 12:35 PM,Man took woman's purse from under a chair in a café in the hospital / Suspect arrested by hospital Security / Purse recovered,Arrest,W1266,-87.6041439,41.78917240000001
513,Theft,5815 S. Maryland ,10/20/10 2:45 PM,10/19/10 9:00 AM to 3:30 PM,Credit and debit card taken from unattended briefcase / Unauthorized use of cards subsequently reported,Open,W1268,-87.6041439,41.78917240000001
514,Theft from Motor Vehicle,Midway Plaisance & Dorchester,10/20/10 4:00 PM,10/20/10 7:45 AM to 3:50 PM,Unknown person smashed driver's side window of car parked on the street and took GPS device,Open,W1269,-87.59148530000002,41.7865547
515,Theft,1020 E. 58th St. ,10/20/10 4:22 PM,10/20/10 12:00 PM to 2:00 PM,Wallet taken from an unsecured locker,Open,W1270,-87.60020999999998,41.790008799999995
520,Theft,5807 S. Woodlawn ,10/21/10 4:54 PM,10/21/10 1:30 PM to 2:00 PM,Wallet taken from unattended purse in unsecured office / Unauthorized use of credit cards subsequently reported,Open,W1275,-87.5955699,41.7889213
521,Theft,57th between Kimbark & Kenwood,10/21/10 8:55 PM,10/19/10 2:00 PM to 3:15 PM,Wallet lost or taken from woman's purse while in café / Unauthorized use of credit cards subsequently reported,Open,W2176,-87.5940330501519,41.79144970285433
524,Theft,Ellis between 60th & 61st,10/22/10 2:34 PM,10/22/10 2:15 PM,Woman permitted a female stranger to use her cell phone / A female accomplice distracted woman while suspect walked off with the phone,Open,W1280,-87.60115904966807,41.785000600002384
525,Theft,5747 S. Ellis ,10/22/10 4:13 PM,10/22/10 2:30 PM,Unknown person took wallet from unattended backpack left in hallway,Open,W1281,-87.60097390000001,41.7900022
526,Theft,5721 S. Maryland ,10/22/10 4:21 PM,10/22/10 2:45 PM,Unknown person took unattended Blackberry cell phone from chair in lobby,Open,W1282,-87.6046094,41.7902271
527,Theft,5835 S. Kimbark ,10/22/10 4:36 PM,10/21/10 6:45 AM to 3:35 PM,Laptop computer taken from unattended backpack left in student lounge,Open,W1283,-87.5939568,41.7885389
529,Theft,1442 E. 59th St. ,10/24/10 10:27 PM,10/24/10 5:30 PM to 10:15 PM,Unknown person took secured bicycle from bike rack,Open,W1285,-87.5897897,41.7880755
535,Theft from Motor Vehicle,Dorchester between 50th & 51st,10/24/10 9:03 PM,10/23/10 to 10/24/10 8:00 AM to 9:30:PM,"Unknown person smashed front and rear passenger's side window of car parked on the street / Took digital camera, voice recorder, electrical keyboard",Open,W1293,-87.6108265042941,41.84117530913169
537,Theft,830 E. 55th St. ,10/25/10 11:03 AM,10/25/10 11:00 AM,"Two unknown males took unattended backpack and fled while complainant was running on track / Backpack recovered, wallet missing",Open,W1296,-87.6054882,41.7949808
539,Theft,924 E. 57th St. ,10/25/10 3:09 PM,10/25/10 8:30 AM to 10:20 AM,Secured bicycle taken from bike rack,Open,W1298,-87.6028077,41.79192099999999
540,Theft,5550 S. University ,10/25/10 5:43 PM,10/25/10 3:30 PM to 5:40 PM,Laptop computer taken from unsecured gym locker,Open,W1299,-87.598936,41.793561100000005
549,Theft,5550 S. University ,10/26/10 4:33 PM,10/26/10 4:30 PM,Three suspects distracted staff member -  grabbed i-Phone from desk and fled the building,Open,W1308,-87.598936,41.793561100000005
555,Theft,1101 E. 58th St. ,10/27/10 4:01 PM,10/4/10 12:20 PM to 3:00 PM,Unknown person took secured bicycle from bike rack,Open,W1315,-87.59892190000001,41.7889123
558,Theft from Motor Vehicle,1545 E. 60th St. ,10/27/10 4:51 PM,10/26/10 7:30 AM to 3:30 PM,Unknown person took four hub caps from vehicle,Open,W1317,-87.5880538,41.7861014
559,Theft,5758 S. Maryland ,10/28/10 10:14 AM,10/27/10 12:40 PM to 1:00 PM,Wallet taken from unattended bag left in unsecured office / Subsequent unauthorized use of credit cards reported,Open,W1319,-87.60554789999998,41.7901233
560,Theft,1100 E. 57th St. ,10/28/10 2:26 PM,10/28/10 12:00 PM to 2:00 PM,Unknown person took secured bicycle from bike rack,Open,W1320,-87.6001136,41.7922076
561,Theft,55th between Ellis & Greenwood,10/28/10 2:33 PM,10/28/10 1:30 PM to 2:30 PM,Woman's clutch purse taken from coat hanging on booth as complainant dined in restaurant / Subsequent unauthorized use of credit card reported,Open,W1321,-87.60054965006697,41.795014702640415
570,Theft,5721 S. Maryland ,10/29/10 8:03 PM,10/29/10 6:40 PM to 7:15 PM,i-phone taken from pocket of unattended coat in unsecured office,Open,W1331,-87.6046094,41.7902271
572,Theft,57th between Blackstone & Harper,10/30/10 11:15 AM,10/30/10 11:10 AM,Woman took cash from unattended wallet placed on store counter / UCPD detained suspect / Cash returned and victim declined to prosecute,Closed,W1334,-87.58960125006138,41.79150140186451
573,Theft,821 E. 55th St. ,10/30/10 4:10 PM,10/30/10 12:00 PM to 3:00 PM,Unknown person took unattended book bag,Open,W1335,-87.6056926,41.7949489
574,Theft,1100 E. 57th St. ,10/30/10 8:52 PM,10/30/10 3:00 PM to 9:00 PM,Unknown person cut U-lock and took bicycle from bike rack,Open,W1336,-87.6001136,41.7922076
577,Theft,Ingleside between 54th & 55th,10/31/10 1:31 PM,10/30/10 to 10/31/10 11:00 PM to 12:30 AM,Unattended purse taken while complainant was attending a party at a residence,Open,W1338,-87.60274899900958,41.79662385001049
579,Theft,6031 S. Ellis ,10/31/10 11:23 PM,10/31/10 6:00 PM to 7:00 PM,Unknown person took unattended laptop computer from unsecured lounge area,Open,W1341,-87.60034870000001,41.78502539999999
581,Theft,1442 E. 59th St. ,11/1/10 10:58 AM,10/31/10 12:00 AM to 2:30 AM,Unknown person took secured bike from bike rack,Open,W1343,-87.5897897,41.7880755
582,Theft,5815 S. Maryland ,11/1/10 11:16 AM,10/28/10 to 10/31/10 11:00 PM to 5:15 PM,Patient reports debit/credit card taken from a purse in her room / Subsequent unauthorized use of card reported,Open,W1344,-87.6041439,41.78917240000001
583,Theft,1100 E. 57th St ,11/1/10 1:55 PM,10/29/10 7:00 PM to 7:20 PM,Unknown person took unattended ID card holder from table in library,Open,W1345,-87.6001136,41.7922076
584,Theft,57th & Harper,11/1/10 2:09 PM,11/1/10 2:09 PM,Male subject grabbed i-phone from man as he was walking and talking on the phone / Suspect fled with phone,Open,W1346,-87.5889455,41.79150739999999
585,Theft,5815 S. Maryland ,11/1/10 4:43 PM,10/30/10 to 11/1/10 5:00 PM to 8:00 AM,Unattended phone taken from reception desk,Open,W1348,-87.6041439,41.78917240000001
586,Theft,901 E. 58th St. ,11/1/10 4:51 PM,10/30/10 to 11/1/10 4:00 PM to 7:00 AM,Patient's necklace and social security card taken while she was treated in ER,Open,W1347,-87.6049245,41.78949770000001
587,Theft,5815 S. Maryland ,11/2/10 1:30 PM,11/1/10 9:30 AM to 4:00 PM,Patient reported cash taken from pants hanging in closet in his room,Open,W1349,-87.6041439,41.78917240000001
590,Theft,5758 S. Maryland ,11/3/10 3:37 PM,11/3/10 3:20 PM,Wallet taken from unattended purse left in unsecured room,Open,W1352,-87.60554789999998,41.7901233
591,Theft,5815 S. Maryland ,11/3/10 3:50 PM,11/2/10 12:45 PM to 1:20 PM,Unknown person took wallet from purse hanging on rear of chair while woman was dining / Subsequent unauthorized use of credit cards reported,Open,W1353,-87.6041439,41.78917240000001
598,Motor Vehicle Theft,Stony Island between 56th & 57th,11/5/10 1:42 PM,11/5/10 12:00 PM to 1:00 PM,2003 Ford Cargo Van taken from parking space on the street,Open,W1360,-87.58667225063812,41.792452000008566
602,Theft,Kimbark between 51st & 52nd,11/7/10 9:15 PM,11/6/10 1:30 AM to 2:00 AM,Unattended laptop computer taken during a party in a private residence,Open,W1365,-87.61241837450295,41.83952060838667
605,Theft,5815 S. Maryland ,11/8/10 3:11 PM,11/8/10 11:40 AM to 12:15 PM,Unknown person took cash from pocket of a coat placed on the back of a chair while woman dined in 2nd floor cafe,Open,W1372,-87.6041439,41.78917240000001
608,Theft,924 E. 57th St. ,11/8/10 7:16 PM,11/8/10 8:55 AM to 7:05 PM,Unknown person took secured bike and lock from bike rack,Open,W1369,-87.6028077,41.79192099999999
613,Theft from Motor Vehicle,Woodlawn between 60th & 61st,11/9/10 2:28 PM,11/9/10 6:30 AM to 2:20 PM,Unknown person broke passenger's side vent window of vehicle and took GPS device,Open,W1376,-87.5963165497612,41.78506635000117
624,Theft,59th between Greenwood & University,11/11/10 1:12 PM,11/11/10 10:30 AM to 12:00 PM,Bicycle locked to sign post taken,Open,W1387,-87.61389528447121,41.83294139521297
625,Theft,5812 S. Ellis ,11/11/10 3:20 PM,11/11/10 2:50 PM,Man left his i-Phone in washroom / Returned within a few minutes and found phone was taken by an unknown person,Open,W1390,-87.6023235,41.7891449
628,Theft,1131 E. 57th St. ,11/11/10 8:52 PM,11/11/10 8:20 PM,Two individuals took food from dining area without paying / 3 Arrests by UCPD on 11/18/10,Arrest,W1392,-87.5982604,41.791237
631,Theft from Motor Vehicle,54th & Drexel,11/12/10 8:56 AM,11/11/10 to 11/12/10 4:30 PM to 8:45 AM,Unknown person shattered driver's side window of car parked on the street / GPS and i-Pod taken,Open,W1395,-87.603861,41.7968194
633,Theft,5841 S. Maryland ,11/12/10 1:33 PM,11/2/10 to 11/12/10 12:30 PM to 12:30 PM,Two Dell laptop computers taken from room / Door lock malfunctioning,Open,W1397,-87.6045656,41.7883128
640,Theft,5550 S. University ,11/13/10 12:27 PM,11/13/10 11:20 AM to 12:10 PM,Unknown person took wallet from the pocket of unattended jacket placed on the floor in gym,Open,W1404,-87.598936,41.793561100000005
641,Theft,5514 S. University ,11/13/10 4:51 PM,11/13/10 12:00 AM to 9:30 AM,Unattended laptop computer taken from student lounge,Open,W1405,-87.59833540000001,41.7946356
642,Theft,Kimbark between 57th & 58th,11/13/10 5:58 PM,11/7/10 to 11/13/10 7:00 PM to 6:30 PM,Unknown person took secured bicycle from bike rack,Open,W1406,-87.59482159967779,41.790531800002256
647,Theft,5815 S. Maryland ,11/14/10 4:51 PM,11/12/10 2:00 PM to 4:50 PM,i-Phone and charger taken from patient's book bag,Open,W1411,-87.6041439,41.78917240000001
653,Theft,5758 S. Maryland ,11/16/10 1:12 PM,11/16/10 1:12 PM,Unknown person took credit card holder from a woman's purse that was hanging on her chair as she dined in food court,Open,W1418,-87.60554789999998,41.7901233
654,Theft from Motor Vehicle,Stony Island & 58th,11/16/10 3:29 PM,11/16/10 8:00 AM to 3:25 PM,Unknown person pried door of a vehicle parked on the street / took tool box and several tools,Open,W1419,-87.62979820000001,41.8781136
